gameid,date,patch,teamname,side,result,game_mins,got_fd,got_more_grubs,scenario,golddiffat15,xpdiffat15,kills,deaths,firstbaron,firsttower,turretplates,opp_turretplates
13095-13095_game_3,2026-01-28 13:59:03,16.02,EDward Gaming,Blue,1,39.36666666666667,0,1,More Grubs Only,,,10,8,,0.0,,
13095-13095_game_3,2026-01-28 13:59:03,16.02,Ninjas in Pyjamas,Red,0,39.36666666666667,1,0,FD Only,,,8,10,,1.0,,
13097-13097_game_1,2026-01-29 11:08:40,16.02,Weibo Gaming,Blue,1,35.3,1,1,FD + More Grubs,,,16,8,,0.0,,
13097-13097_game_1,2026-01-29 11:08:40,16.02,JD Gaming,Red,0,35.3,0,0,Neither,,,8,16,,1.0,,
13097-13097_game_2,2026-01-29 12:15:36,16.02,Weibo Gaming,Blue,0,32.46666666666667,1,1,FD + More Grubs,,,4,21,,0.0,,
13097-13097_game_2,2026-01-29 12:15:36,16.02,JD Gaming,Red,1,32.46666666666667,0,0,Neither,,,21,4,,1.0,,
13096-13096_game_1,2026-01-29 09:14:37,16.02,ThunderTalk Gaming,Blue,0,29.033333333333335,0,1,More Grubs Only,,,6,18,,0.0,,
13096-13096_game_1,2026-01-29 09:14:37,16.02,Ninjas in Pyjamas,Red,1,29.033333333333335,1,0,FD Only,,,18,6,,1.0,,
13096-13096_game_2,2026-01-29 10:04:43,16.02,Ninjas in Pyjamas,Blue,1,25.666666666666668,0,1,More Grubs Only,,,23,5,,1.0,,
13096-13096_game_2,2026-01-29 10:04:43,16.02,ThunderTalk Gaming,Red,0,25.666666666666668,1,0,FD Only,,,5,23,,0.0,,
13097-13097_game_3,2026-01-29 13:12:26,16.02,JD Gaming,Blue,0,36.7,1,0,FD Only,,,7,15,,1.0,,
13097-13097_game_3,2026-01-29 13:12:26,16.02,Weibo Gaming,Red,1,36.7,0,1,More Grubs Only,,,15,7,,0.0,,
13098-13098_game_2,2026-01-30 10:06:14,16.02,Ultra Prime,Blue,0,30.216666666666665,0,1,More Grubs Only,,,6,18,,1.0,,
13098-13098_game_2,2026-01-30 10:06:14,16.02,Oh My God,Red,1,30.216666666666665,1,0,FD Only,,,18,6,,0.0,,
